id;fabricante;modelo;os
1;systemic;Bacon program;system-worthy
2;panel;Toys bandwidth;bandwidth Harbors paradigms
3;strategic Intelligent Frozen Keyboard;bandwidth;zero defect Ergonomic
4;Lead Rwanda Franc;Avon Fiji Dollar;Human service-desk Borders
5;distributed Implementation silver;haptic;Grass-roots
6;turquoise;Colorado;Bedfordshire fresh-thinking Tuna
7;robust Assistant;Senior functionalities Checking Account;ADP
8;Data sky blue Generic Metal Bike;Georgia Rubber Mobility;Auto Loan Account
9;system;solid state Future parse;COM
10;Unbranded;salmon Direct capacitor;Chicken copying bus
