id;edicao;manchete;data_lancamento;descricao;numero_paginas;url;cover_thumbnail;cover_thumbnail_content_type
1;partnerships function Shoes;budgetary management navigate bluetooth;2020-05-23;toolset connecting;70385;https://jerrod.net;../fake-data/blob/hipster.png;image/png
2;Wooden viral Upgradable;budgetary management drive Reduced;2020-05-22;methodologies red Kazakhstan;51375;http://amina.net;../fake-data/blob/hipster.png;image/png
3;Savings Account interface Cambridgeshire;Virgin Islands, British Chips;2020-05-23;deposit Computers Granite;3447;http://murl.com;../fake-data/blob/hipster.png;image/png
4;brand Savings Account AGP;circuit;2020-05-22;View;36822;http://omer.net;../fake-data/blob/hipster.png;image/png
5;Avon Agent olive;generate Generic Cotton Soap;2020-05-23;Frozen Architect black;87771;https://hilario.com;../fake-data/blob/hipster.png;image/png
6;sensor synthesizing Metal;web-enabled Stand-alone;2020-05-23;Table;41747;http://troy.com;../fake-data/blob/hipster.png;image/png
7;Cambridgeshire sexy Pula;Chips invoice;2020-05-22;Falls Wooden;53985;https://derek.com;../fake-data/blob/hipster.png;image/png
8;Rubber Auto Loan Account e-business;functionalities;2020-05-22;payment;92582;http://tessie.com;../fake-data/blob/hipster.png;image/png
9;Cambridgeshire Bedfordshire;envisioneer Chips;2020-05-23;Frozen navigate;24857;http://karli.name;../fake-data/blob/hipster.png;image/png
10;Baby Solutions;facilitate calculating;2020-05-23;communities deposit;68654;http://alison.info;../fake-data/blob/hipster.png;image/png
